,net_returns,gross_returns,turnover,eth_beta_rolling,pc1_beta_rolling
2024-10-26,0.0016777673201330949,0.002427767320133095,0.15,0.006719260682866641,-0.0003741042277272167
2024-10-27,0.0010014517694690388,0.001751451769469039,0.15000000000000002,0.0046845770609373,-0.00037945375164413406
2024-10-28,-0.00507339206306339,-0.00432339206306339,0.14999999999999997,0.0019821153976741193,-0.00033457507396422536
2024-10-29,-0.0013133995845566755,-0.0005633995845566758,0.14999999999999997,0.0015142386404764145,-0.0003289603785522668
2024-10-30,-0.0003978998915418886,0.0003521001084581115,0.15000000000000002,0.0011617157893196442,-0.00033536707093864975
2024-10-31,0.004967533824009486,0.005717533824009486,0.15,-0.0073468316343237305,-0.0003335952174356314
2024-11-01,0.001191232916220402,0.0019412329162204023,0.15000000000000002,-0.011316262278334764,-0.00033473727715639895
2024-11-02,-0.000729628012108273,2.0371987891726822e-05,0.14999999999999997,-0.014242702418993577,-0.0003280085779259617
2024-11-03,-0.0020300017088153285,-0.001280001708815329,0.14999999999999997,-0.013697813996979382,-0.0003111838082375304
2024-11-04,-0.0016061971240650132,-0.000856197124065013,0.15000000000000002,-0.01438963566714686,-0.00030949268406436285
2024-11-05,0.0023652666846867925,0.0031152666846867927,0.15000000000000002,-0.013099229099187447,-0.00030636782286896545
2024-11-06,0.0024391217689717537,0.003189121768971754,0.15000000000000002,-0.003262389033417617,-0.00031115343968662684
2024-11-07,-0.002895164976033532,-0.0021451649760335324,0.14999999999999997,-0.00575043220499602,-0.000234359737787385
2024-11-08,-0.002864411389848885,-0.002114411389848885,0.15,-0.008908328917632555,-0.0002489834135630052
2024-11-09,-0.0051830416950187285,-0.004433041695018729,0.15000000000000002,-0.012953229578652027,-0.0002236129276141073
2024-11-10,-0.007653719769468033,-0.0069037197694680336,0.15,-0.01423404847093627,-0.00026611666652135747
2024-11-11,0.004987501426702095,0.0057375014267020946,0.15000000000000002,-0.008437535209386778,-0.00025040012957439355
2024-11-12,0.006316654242610617,0.007066654242610617,0.14999999999999997,-0.013718376061460168,-0.00021985285527077614
2024-11-13,0.0009770779110646727,0.0017270779110646725,0.14999999999999997,-0.014329153691274662,-0.00022091201008440418
2024-11-14,-0.0017858793278819481,-0.0010358793278819481,0.15,-0.013049874366214733,-0.00022222305911354207
2024-11-15,-0.004610529895894603,-0.0038605298958946026,0.15,-0.013746417282832825,-0.00023560165482236695
2024-11-16,0.00018702134856896687,0.0009370213485689669,0.15,-0.012771642422384271,-0.00018446282916540716
2024-11-17,0.00444607875786133,0.00519607875786133,0.15,-0.015074150148138338,-0.00020402740682718136
2024-11-18,-0.0059265598474621045,-0.005176559847462105,0.14999999999999997,-0.022087083323055205,-0.00022952584894148052
