time,MINA,SNX,CELO,GAS,GMT,POLYX,PEOPLE,REQ,YGG,ILV,BNT
2024-01-01,0.0070266031,0.0024439183,,0.0013851179,,,,,,0.0019322402,
2024-01-02,0.0049205057,0.0036267407,,0.0023119518,,,,,,0.0021131469,
2024-01-03,0.0023071051,0.0016984911,,0.0012305554,,,5.0918900000000005e-05,,,0.0008797493,
2024-01-04,0.0010599189,0.00030000000000000003,,0.0004231452,,,-0.0002641351,,,0.0003377883,
2024-01-05,0.0007716602,0.00027114340000000003,,0.0004104291,,,0.0002226015,,,0.0003288933,
2024-01-06,0.0013021489,-0.00039799439999999996,,0.0007279714,,,0.000318385,,,0.0002770489,
2024-01-07,0.0019332404,0.0002781796,,0.0006014621,,,0.0004513944,,,4.25667e-05,
2024-01-08,-0.0005110606,0.0002610338,,0.0003519265,,,0.0008513613999999999,,,-0.000347419,
2024-01-09,0.0013633943,0.0003044262,,0.0003056382,,,0.00024220950000000002,,,6.46958e-05,
2024-01-10,0.0024856072,0.00031433110000000003,,0.0003903331,,,0.00030000000000000003,,,0.00019156890000000002,
2024-01-11,0.00138089,0.0005266837,,0.0004099046,,,0.0003792116,,,0.0006087113,
2024-01-12,0.0012494185,0.0007447752,,0.00045680439999999997,,,0.0008257145,,,0.0014146449,
2024-01-13,0.0007851359,0.00030000000000000003,,0.0004190456,,,0.0003959398,,,0.0002668524,
2024-01-14,0.0014551192,0.00030000000000000003,,0.00030000000000000003,,,0.00030000000000000003,,,0.0004346469,
2024-01-15,0.0015476365,0.0003703782,,0.00030000000000000003,,,0.00030000000000000003,,,0.0012482425,
2024-01-16,0.0009714461,0.00030515610000000004,,0.00030000000000000003,,,0.00030000000000000003,,,0.0012790512,
2024-01-17,0.0012132264,0.00030000000000000003,,0.00030000000000000003,,,0.00030495690000000003,,,0.0003769091,
2024-01-18,0.0011595276,0.00030000000000000003,,0.0002937009,,,0.0003170967,,,0.0006200741,
2024-01-19,0.0006120248,0.00025609,,0.0002256794,,,0.0003137672,,,0.0001770833,
2024-01-20,0.0009080488,0.0002514304,,0.0016049384000000001,,,0.00035197930000000003,,,,
2024-01-21,0.0009719783,0.00013652180000000002,,-0.00010427220000000002,,,0.0003265952,,,,
2024-01-22,0.0005780388,4.664900000000001e-05,,0.00018388220000000003,,,0.00036263910000000003,,,,
2024-01-23,0.0011940155,1.1802800000000007e-05,,0.0003212302,,,0.0003159633,,,,
2024-01-24,0.0013424347,0.00030000000000000003,,0.00030000000000000003,,,0.00030000000000000003,,,,
2024-01-25,0.0006103182000000001,0.00030000000000000003,,0.00030000000000000003,,,0.0003272395,,,,
2024-01-26,0.0003448236,0.00030000000000000003,,0.0003369626,,,0.0003517921,,,,
2024-01-27,0.0005628922,0.00030000000000000003,,0.0004854442,,,0.00030848970000000003,,,,
2024-01-28,0.0007296222,0.00030000000000000003,,0.0011272854,,,0.00030000000000000003,,,,
2024-01-29,0.000884069,0.00030000000000000003,,0.0005083647,,,0.00030000000000000003,,,,
2024-01-30,0.0005039511,0.0003306117,,0.0005287431,,,0.0003118188,,,,
2024-01-31,0.00030000000000000003,0.00030000000000000003,,0.0001709946,,,0.00030000000000000003,,,,
2024-02-01,0.0002607048,0.00028697250000000004,,0.00030000000000000003,,,0.0003833628,,,,
2024-02-02,0.00030000000000000003,0.00030000000000000003,,0.00030000000000000003,,,0.00030000000000000003,,,,
2024-02-03,0.00035475670000000004,0.00030000000000000003,,0.00030000000000000003,,,0.00030000000000000003,,,,
2024-02-04,0.0005677573,0.0003511801,,0.0003161884,,,0.001331806,,,,
2024-02-05,0.0012126604,0.0005237913,,0.00017141700000000002,,,0.00030000000000000003,,,,
2024-02-06,0.0014415152,0.00030000000000000003,,0.000204706,,,0.00030000000000000003,,,,
2024-02-07,0.0028143405,0.0003120791,,0.0002987875,,,0.00030000000000000003,,,,
2024-02-08,0.0009024129,0.00030000000000000003,,0.00030000000000000003,,,0.00030000000000000003,,,,
2024-02-09,0.0017882815,0.0002195141,,0.00032605860000000004,,,0.00030000000000000003,,,,
2024-02-10,0.0024769951,0.00040760460000000004,,0.0005368253,,,0.00032165540000000004,,,,
2024-02-11,0.0010535306,0.0011403899,,0.0011988595,,,0.0004370577,,,,
2024-02-12,0.0012283982,0.00023944410000000001,,0.0008791138,,,0.0009391441,,,,
2024-02-13,0.0032609573,5.9496400000000015e-05,,0.0021355354,,,0.0020609746,,,,
2024-02-14,0.0049128538,0.0005874697,,0.0029226244,,,0.0015089301,,,,
